municipality,year,month,ndvi_mean,ndvi_std,evi_mean,evi_std,ndwi_mean,ndwi_std,s2_valid_px,vv_mean,vv_std,vh_mean,vh_std,s1_valid_px
City of San Pablo,2024,10,0.736355212337465,0.19295650631231584,0.6494757771286847,1.4969088687276402,-0.6496870104168747,0.1512514503776486,209533,-6.273867675957436,2.6745407756019386,-12.637573991437186,2.660540272731053,467947
City of San Pablo,2024,11,0.6761221820830137,0.19916732571494633,0.5625492316722438,0.2631059300611962,-0.6128656701670768,0.1564284978061757,144515,-6.768522555257214,2.683300403928477,-13.30687501390672,2.8287135576894857,467836
City of San Pablo,2024,12,,,,,,,,-6.03993178164175,2.6500808374105973,-12.498893208499531,2.7127634144781405,468023
City of San Pablo,2025,1,0.6917281516878666,0.21756630434166477,0.5508859850166243,0.22234384336189142,-0.6067371101035374,0.1811777998145111,233073,-6.289400416256604,2.7147205894789757,-12.793991392385724,2.7883608683398173,467930
City of San Pablo,2025,2,,,,,,,,-6.885679565254279,2.668654758810582,-13.306252551302938,2.8994193365083585,467847
City of San Pablo,2025,3,0.7210264921925171,0.21680827299170766,0.594055312866413,0.3396269005027163,-0.6397595261807433,0.18464779523817307,309257,-6.760239671165772,2.701630905046076,-13.259215760117124,2.729677968483757,468013
City of San Pablo,2025,4,0.675581559753045,0.19333275582338957,0.5387183166043901,0.2693612878253233,-0.6234391013160209,0.1444550612474489,391220,-7.765454273903069,2.868667064351571,-14.43726186616196,2.797120931646674,468334
City of San Pablo,2025,5,0.6761737747711165,0.18791562570650186,0.5829145675863118,0.20636333127891535,-0.6099994710945847,0.13777929120748905,123795,-6.885879368139288,2.792895777183331,-13.46691331691224,2.8867607561858324,467799
City of San Pablo,2025,6,0.7342474109796856,0.21446966529423145,0.6346336529450646,0.26596567801966337,-0.646884237283669,0.1680903780271461,236920,-6.473040907925455,2.836565217713051,-13.127110469563828,2.6348883258129185,468364
City of San Pablo,2025,7,,,,,,,,-6.698383481897371,2.7831064120096074,-13.269654975872223,2.776556324065112,468329
City of San Pablo,2025,8,0.7266626671218391,0.19378525511649905,0.750260505053148,8.5918529711006,-0.6296369828728682,0.16211985573801527,92094,-6.226659354089879,2.7729238526427413,-12.703147520922979,2.811127520360893,468140
City of San Pablo,2025,9,0.6391443657763799,0.18938241497043093,0.5963983353499707,0.2092313519567212,-0.5597001909138192,0.1527745762070612,221815,-6.0141316451637445,2.7875162674925673,-12.588636552015348,2.6296694650566654,468359
City of San Pablo,2025,10,,,,,,,0,-6.226581175226443,2.7564266166115545,-12.777558482498117,2.740819853724401,468008
City of San Pablo,2025,11,0.6283010413510541,0.1994384133786209,0.5861666674852365,0.21956840437062877,-0.5351280120890228,0.1845889617946724,95398,-6.573407235233085,2.754143782563895,-13.145350454670911,2.6537919485555848,468339
City of San Pedro,2018,1,0.3812246031342102,0.32030152357883285,0.2831983018754254,4.502460705128207,-0.3867826324494885,0.2809523086664904,52683,-5.962501396108994,3.9977956426802455,-11.088413524554355,4.265265034976013,61056
City of San Pedro,2018,2,0.3432808497209691,0.28583957397530035,0.2532917337629191,0.21355819350785504,-0.3581892060848749,0.2562774152193843,44212,-5.495024656043612,4.060305727150125,-12.104918009704338,4.071434597564331,61065
City of San Pedro,2018,3,0.31990841310311835,0.23339091758531944,0.23291741402825958,2.2822714142142555,-0.35245921654300777,0.19990360432783838,61065,-5.428209018569036,3.913244026900265,-12.260538024813922,4.162526394466817,61057
City of San Pedro,2018,4,0.28297107580554043,0.22467507147982493,0.23070358590146745,5.952536081378039,-0.3223557811463404,0.2003751918506694,56361,-5.629889764701881,4.138073502193349,-12.303308614117627,4.182450211938814,61059
City of San Pedro,2018,5,0.3188972928699726,0.2701672410130332,0.18203979897652892,9.732027991296922,-0.3554598839927155,0.2431143457669434,60397,-6.292763286512976,4.132831979968336,-11.512612740442664,4.578931537538737,61036
City of San Pedro,2018,6,,,,,,,,-5.050777001414179,4.408622207028592,-11.836481536244463,3.998759535177143,61056
City of San Pedro,2018,7,,,,,,,,-5.467570141908811,4.122795844646137,-10.875941242347704,4.352783549985981,61007
City of San Pedro,2018,8,,,,,,,,-5.3143596992252045,4.04720512321189,-12.168705032502132,4.3046882218995055,60970
City of San Pedro,2018,9,0.3891910901711513,0.2104310046622267,0.37570979582276165,0.2201088204003682,-0.3624001581495063,0.16354648211231246,27990,-5.286140325916736,4.161554945114497,-12.060631738389967,4.327143985448637,60924
City of San Pedro,2018,10,0.4047912895327437,0.313043231398767,0.296785951324398,0.23688017146429302,-0.39963252070613653,0.2695375387183255,60859,-5.416679119890328,4.102204539177031,-12.202345551329044,4.323543600014053,60934
City of San Pedro,2018,11,0.3951776419828682,0.32900979901862126,0.26466846653256326,0.3201699137401758,-0.401545576623725,0.2827148812414426,60934,-5.4151190373307125,3.9973583041898557,-12.249893053779148,4.275259896881061,60939
City of San Pedro,2018,12,0.3886995276032069,0.28017445875901575,0.2723993448615942,0.2159272211971357,-0.39218128422973375,0.2332480773319425,60428,-4.203521380274889,4.390721476842175,-11.239079751678844,4.174638800563848,60979
City of San Pedro,2019,1,0.3515094573665809,0.19570551161104738,0.3557543330226995,0.2946269601713723,-0.3290785848148392,0.15361656373545604,10630,-5.417545477539338,4.083893942496909,-12.34130160786689,4.386131763847929,60967
City of San Pedro,2019,2,0.1979067559166194,0.2791379113351207,0.19525634715397783,0.21890571988836002,-0.18895145567325677,0.27936492233278165,2798,-5.560806414154411,4.088326114022275,-12.518753562329085,4.499089585012985,60911
City of San Pedro,2019,3,0.3173904018829079,0.2732766765101266,0.21958984692697017,0.23748720525217798,-0.3551743653104038,0.24629187783816575,58970,-5.713372835292875,4.32633540971187,-12.499373284262461,4.480519041846428,60970
City of San Pedro,2019,4,0.327310234116051,0.204663617539189,0.2626636043437642,0.18173299901815304,-0.3449982293614856,0.17748143073145653,31796,-5.744072650708955,4.207475466798068,-12.459960948501127,4.354711174929646,60953
City of San Pedro,2019,5,0.37360333726735173,0.32243659972476946,0.2565761023877652,6.979831648019221,-0.37392704032058033,0.269705702804294,48969,-4.732370963003013,4.334060388985468,-11.488578650428309,4.012842312687044,60990
City of San Pedro,2019,6,0.36828070113305356,0.294958339763009,0.3408489294988027,0.31393009863152843,-0.33019811103618796,0.2661080694994503,14660,-5.1041006509538,4.226564318468475,-12.000390999830653,4.107139209189885,60996
