municipality,year,month,ndvi_mean,ndvi_std,evi_mean,evi_std,ndwi_mean,ndwi_std,s2_valid_px,vv_mean,vv_std,vh_mean,vh_std,s1_valid_px
Alaminos,2023,2,0.5485645873206002,0.017738588730019874,0.44018356714929857,0.026487129911379217,-0.46022094999040875,0.01312028664048142,7,-5.91867140011265,2.312826481884415,-12.850862776351246,2.4780858481389534,150290
Alaminos,2023,3,0.5964846263623093,0.1637926240483496,0.6479292941340329,0.21510683829981786,-0.5097163257866919,0.14801138921803075,338,-6.554788804596732,2.381474346500003,-13.153353114670335,2.5753086367023332,150270
Alaminos,2023,4,0.6825171209000641,0.1633065627434694,0.6589282862373477,0.1842696188433485,-0.6065436630700258,0.13340715230213698,37086,-6.189294833693371,2.378257524982821,-13.052936408446008,2.59082030094631,150268
Alaminos,2023,5,0.6269540432825086,0.1830879760284271,0.6322900283493397,0.20718420513810196,-0.5486507395277611,0.14691370501927153,19869,-6.054307649733328,2.461944089536003,-12.98868688393724,2.6719119876546507,150247
Alaminos,2023,6,0.7909369140605768,0.15791346710325974,0.7034268197469966,0.176002727833158,-0.6880247366765404,0.12216507607432547,87641,-5.658513612311576,2.3101473689060295,-12.802282753930895,2.4124372082172107,150288
Alaminos,2023,7,0.7004040178428533,0.16496264170969005,0.6464888875485079,0.17345667101899154,-0.6105343889936393,0.13442205723088746,2884,-5.456641458838062,2.3300717456406392,-12.394296699850289,2.3886080990976812,150287
Alaminos,2023,8,0.6787907076215735,0.2108827333586494,0.6384497693399892,0.2448634126596558,-0.5840587064387399,0.17470680531029947,16765,-6.019234886344722,2.452771113241601,-12.902368442255835,2.565083287016955,150271
Alaminos,2023,9,0.7751208584394248,0.19898509100817477,0.6458900735039982,1.1874819247222461,-0.6787987272425632,0.16332446917998894,98624,-5.604173049860789,2.3158078853926427,-12.570513906736897,2.409878618291966,150278
Alaminos,2023,10,0.7554209601663704,0.17704372991007022,0.6830776922175656,0.18297368961951702,-0.6596238585199543,0.1463193763842213,53412,-5.365947158842979,2.400544461272072,-12.318229470726608,2.5114079434580776,150280
Alaminos,2023,11,0.6084154394243432,0.210878551822507,0.5830707171314002,1.8933640745198648,-0.530224137763839,0.18195755847703013,45312,-5.673642485788224,2.4200821913935697,-12.466552594107826,2.481491921248272,150281
Alaminos,2023,12,0.7124512938353492,0.17325764279251546,0.580791441070969,0.20211269177810218,-0.641259725457444,0.14320200571579786,96291,-5.516642104451631,2.4237364481183064,-12.482528604547454,2.5129836037996744,150263
Alaminos,2024,1,0.7173014366753886,0.2234233419117076,0.5826978552588772,0.17927142398564408,-0.6386059862777916,0.1995164825303918,59388,-6.075694995564048,2.4501374045165183,-12.911287290001976,2.5221070398145526,150290
Alaminos,2024,2,0.7896027608472996,0.17598980669888478,0.5787186435602525,0.16110768897451053,-0.7179603940525049,0.1365544281276107,138331,-6.159162068985298,2.292124439952746,-13.071951000078668,2.4200855004073065,150286
Alaminos,2024,3,0.5601747357092446,0.22588003466699683,0.5297371593157554,0.24081590016612278,-0.48528936667449396,0.19028260203595931,10522,-6.476327373233241,2.416569485347545,-13.092849456619074,2.5237849033403683,150289
Alaminos,2024,4,0.64128272061365,0.17315023485506184,0.5712952085087831,0.18428056597774953,-0.5905904348953325,0.128909339968729,43435,-6.850490215060977,2.552775959534647,-13.62845268355612,2.836271035505699,150250
Alaminos,2024,5,0.6518265291538421,0.1591967342652253,0.55093772393631,0.16998869826101215,-0.5931376166999274,0.11805711793052029,54960,-6.8076940839548845,2.4656475999821845,-13.346750160003797,2.6110024373249128,150288
Alaminos,2024,6,0.6987073193694864,0.1911257338083958,0.755333239949132,0.2284365989423364,-0.5949777576634155,0.16203463075019942,23161,-5.713941954667662,2.2213163874281174,-12.510531702116955,2.285897137190691,150293
Alaminos,2024,7,0.7232104061138731,0.14009855754151337,0.6707781020344422,0.16741462534285723,-0.6305246081942946,0.11527691439591076,106829,-6.076195276089726,2.3994728466429525,-12.933181347923162,2.3415554423380347,150274
Alaminos,2024,8,0.4740470976630369,0.07101344700787449,0.7565833208772197,0.2364463475784843,-0.3991926050471094,0.05862203830280715,2071,-5.514312874973562,2.298330885147417,-12.08679127833283,2.302586305758579,150291
Alaminos,2024,9,0.7495267496423041,0.15917574276887092,0.6546336228276723,0.17297112072739929,-0.6541398973071672,0.13460156631405157,58027,-5.6940003785072335,2.425668666673619,-12.700878121496027,2.5135963064736213,150279
Alaminos,2024,10,0.7712599628850559,0.18684783630811988,0.7198349587321674,0.21147259408009791,-0.6771960078753883,0.15182265094462788,53789,-5.7460191749057605,2.2672206089215226,-12.177552885027572,2.3330402237924406,150284
