municipality,year,month,rainfall_mm,temp_mean_c,days
Calauan,2019,3,23.5,26.22,31
Calauan,2019,4,25.2,28.28,30
Calauan,2019,5,197.0,27.81,31
Calauan,2019,6,219.5,28.07,30
Calauan,2019,7,331.8,26.75,31
Calauan,2019,8,405.0,26.65,31
Calauan,2019,9,441.6,26.32,30
Calauan,2019,10,84.3,26.57,31
Calauan,2019,11,185.8,26.13,30
Calauan,2019,12,314.0,25.63,31
Calauan,2020,1,56.1,25.16,31
Calauan,2020,2,76.7,24.53,29
Calauan,2020,3,16.6,26.53,31
Calauan,2020,4,28.8,27.88,30
Calauan,2020,5,277.4,28.6,31
Calauan,2020,6,216.7,27.79,30
Calauan,2020,7,340.0,27.21,31
Calauan,2020,8,432.7,26.76,31
Calauan,2020,9,227.4,27.14,30
Calauan,2020,10,604.3,26.17,31
Calauan,2020,11,456.5,26.06,30
Calauan,2020,12,321.8,25.81,31
Calauan,2021,1,188.9,24.78,31
Calauan,2021,2,151.9,24.82,28
Calauan,2021,3,113.6,26.06,31
Calauan,2021,4,25.5,26.92,30
Calauan,2021,5,73.9,28.39,31
Calauan,2021,6,299.9,27.53,30
Calauan,2021,7,395.5,26.93,31
Calauan,2021,8,254.7,27.0,31
Calauan,2021,9,444.0,26.59,30
Calauan,2021,10,235.1,26.49,31
Calauan,2021,11,79.6,26.73,30
Calauan,2021,12,120.9,25.25,31
Calauan,2022,1,46.1,24.97,31
Calauan,2022,2,61.3,25.55,28
Calauan,2022,3,63.3,27.03,31
Calauan,2022,4,88.7,26.93,30
Calauan,2022,5,178.6,27.72,31
Calauan,2022,6,285.2,27.27,30
Calauan,2022,7,492.9,26.87,31
Calauan,2022,8,442.7,26.3,31
Calauan,2022,9,308.7,26.45,30
Calauan,2022,10,496.6,26.58,31
Calauan,2022,11,112.6,26.49,30
Calauan,2022,12,143.7,25.29,31
Calauan,2023,1,160.1,24.62,31
Calauan,2023,2,76.5,25.17,28
Calauan,2023,3,14.3,25.76,31
Calauan,2023,4,128.4,27.13,30
Calauan,2023,5,177.6,27.82,31
Calauan,2023,6,279.7,27.47,30
Calauan,2023,7,304.2,27.45,31
Calauan,2023,8,134.1,27.8,31
Calauan,2023,9,356.2,27.02,30
Calauan,2023,10,178.1,27.06,31
Calauan,2023,11,133.3,26.76,30
Calauan,2023,12,82.1,26.35,31
Calauan,2024,1,17.9,25.49,31
Calauan,2024,2,10.7,26.04,29
Calauan,2024,3,32.1,26.68,31
Calauan,2024,4,13.4,29.05,30
Calauan,2024,5,310.8,29.45,31
Calauan,2024,6,344.6,27.91,30
Calauan,2024,7,497.3,26.97,31
Calauan,2024,8,285.1,27.39,31
Calauan,2024,9,398.4,27.16,30
Calauan,2024,10,431.7,26.9,31
Calauan,2024,11,73.3,27.44,30
Calauan,2024,12,272.9,25.83,31
Calauan,2025,1,109.6,25.38,31
Calauan,2025,2,129.1,25.54,28
Calauan,2025,3,62.5,27.07,31
Calauan,2025,4,21.9,29.7,30
Calauan,2025,5,124.6,29.0,31
Calauan,2025,6,334.4,27.22,30
Calauan,2025,7,330.7,27.06,31
Calauan,2025,8,291.1,26.73,31
Calauan,2025,9,391.6,26.11,30
Calauan,2025,10,257.0,26.51,31
Calauan,2025,11,246.8,26.44,30
Calauan,2025,12,68.5,25.99,31
Cavinti,2018,1,204.6,22.7,31
Cavinti,2018,2,46.0,22.92,28
Cavinti,2018,3,123.3,23.18,31
Cavinti,2018,4,98.0,24.62,30
Cavinti,2018,5,92.3,25.99,31
Cavinti,2018,6,193.3,25.24,30
Cavinti,2018,7,442.6,24.31,31
Cavinti,2018,8,240.4,24.75,31
Cavinti,2018,9,339.7,24.42,30
Cavinti,2018,10,121.3,24.4,31
Cavinti,2018,11,236.6,23.77,30
Cavinti,2018,12,737.3,23.1,31
Cavinti,2019,1,163.5,22.13,31
Cavinti,2019,2,61.1,22.21,28
Cavinti,2019,3,26.5,23.79,31
Cavinti,2019,4,80.1,25.57,30
